Episode,Score,Win %
1,-12,0.0
2,12,0.5
3,12,0.6666666666666666
4,-9,0.5
5,-16,0.4
6,14,0.5
7,-13,0.42857142857142855
8,-14,0.375
9,-12,0.3333333333333333
10,6,0.4
11,10,0.45454545454545453
12,-6,0.4166666666666667
13,10,0.46153846153846156
14,-8,0.42857142857142855
15,14,0.4666666666666667
16,6,0.5
17,10,0.5294117647058824
18,-10,0.5
19,12,0.5263157894736842
20,-6,0.5
21,12,0.5238095238095238
22,16,0.5454545454545454
23,8,0.5652173913043478
24,-8,0.5416666666666666
25,-8,0.52
26,8,0.5384615384615384
27,14,0.5555555555555556
28,-8,0.5357142857142857
29,10,0.5517241379310345
30,-10,0.5333333333333333
31,16,0.5483870967741935
32,8,0.5625
33,-8,0.5454545454545454
34,6,0.5588235294117647
35,10,0.5714285714285714
36,8,0.5833333333333334
37,-8,0.5675675675675675
38,-6,0.5526315789473685
39,-6,0.5384615384615384
40,-12,0.525
41,-8,0.5121951219512195
42,-8,0.5
43,10,0.5116279069767442
44,9,0.5227272727272727
45,-10,0.5111111111111111
46,-6,0.5
47,-8,0.48936170212765956
48,9,0.5
49,6,0.5102040816326531
50,-6,0.5
51,-10,0.49019607843137253
52,-6,0.4807692307692308
53,-10,0.4716981132075472
54,10,0.48148148148148145
55,-10,0.4727272727272727
56,16,0.48214285714285715
57,6,0.49122807017543857
58,-12,0.4827586206896552
59,-10,0.4745762711864407
60,-6,0.4666666666666667
61,6,0.47540983606557374
62,11,0.4838709677419355
63,-10,0.47619047619047616
64,-8,0.46875
65,-6,0.46153846153846156
66,-8,0.45454545454545453
67,-8,0.44776119402985076
68,7,0.45588235294117646
69,6,0.463768115942029
70,18,0.4714285714285714
71,8,0.4788732394366197
72,-8,0.4722222222222222
73,10,0.4794520547945205
74,12,0.4864864864864865
75,12,0.49333333333333335
76,6,0.5
77,-8,0.4935064935064935
78,-6,0.48717948717948717
79,10,0.4936708860759494
80,-10,0.4875
81,-8,0.48148148148148145
82,11,0.4878048780487805
83,-10,0.4819277108433735
84,11,0.4880952380952381
85,-10,0.4823529411764706
86,-8,0.47674418604651164
87,8,0.4827586206896552
88,6,0.48863636363636365
89,12,0.4943820224719101
90,10,0.5
91,-6,0.4945054945054945
92,8,0.5
93,6,0.5053763440860215
94,-7,0.5
95,10,0.5052631578947369
96,-12,0.5
97,-18,0.4948453608247423
98,-12,0.4897959183673469
99,10,0.494949494949495
100,-6,0.49
101,10,0.49504950495049505
102,-16,0.49019607843137253
103,-10,0.4854368932038835
104,9,0.49038461538461536
105,13,0.49523809523809526
106,10,0.5
107,-10,0.4953271028037383
108,14,0.5
109,8,0.5045871559633027
110,-8,0.5
111,6,0.5045045045045045
112,-8,0.5
113,8,0.504424778761062
114,8,0.5087719298245614
115,-13,0.5043478260869565
116,12,0.5086206896551724
117,-6,0.5042735042735043
118,12,0.5084745762711864
119,-14,0.5042016806722689
120,-10,0.5
121,6,0.5041322314049587
122,-8,0.5
123,-9,0.4959349593495935
124,6,0.5
125,-8,0.496
126,6,0.5
127,-6,0.49606299212598426
128,-6,0.4921875
129,-16,0.4883720930232558
130,-10,0.4846153846153846
131,6,0.48854961832061067
132,-6,0.48484848484848486
133,-10,0.48120300751879697
134,18,0.48507462686567165
135,8,0.4888888888888889
136,-8,0.4852941176470588
137,-12,0.48175182481751827
138,8,0.4855072463768116
139,-8,0.48201438848920863
140,10,0.4857142857142857
141,-8,0.48226950354609927
142,8,0.4859154929577465
143,8,0.48951048951048953
144,-9,0.4861111111111111
145,10,0.4896551724137931
146,12,0.4931506849315068
147,-14,0.4897959183673469
148,-12,0.4864864864864865
149,-6,0.48322147651006714
150,-9,0.48
151,-10,0.4768211920529801
152,12,0.48026315789473684
153,9,0.48366013071895425
154,-12,0.4805194805194805
155,9,0.4838709677419355
156,-10,0.4807692307692308
157,-5,0.47770700636942676
158,8,0.4810126582278481
159,9,0.48427672955974843
160,-6,0.48125
161,-12,0.4782608695652174
162,-8,0.47530864197530864
163,8,0.4785276073619632
164,-10,0.47560975609756095
165,8,0.47878787878787876
166,-8,0.4759036144578313
167,-14,0.47305389221556887
168,-7,0.47023809523809523
169,8,0.47337278106508873
170,6,0.4764705882352941
171,-10,0.47368421052631576
172,-6,0.47093023255813954
173,6,0.47398843930635837
174,-6,0.47126436781609193
175,12,0.4742857142857143
176,-6,0.4715909090909091
177,-10,0.4689265536723164
178,-12,0.46629213483146065
179,11,0.4692737430167598
180,-8,0.4666666666666667
181,6,0.4696132596685083
182,-12,0.46703296703296704
183,8,0.46994535519125685
184,-8,0.4673913043478261
185,12,0.4702702702702703
186,-8,0.46774193548387094
187,8,0.47058823529411764
188,-12,0.46808510638297873
189,12,0.4708994708994709
190,12,0.47368421052631576
191,8,0.47643979057591623
192,-10,0.4739583333333333
193,10,0.47668393782383417
194,-6,0.4742268041237113
195,-16,0.4717948717948718
196,-12,0.46938775510204084
197,10,0.4720812182741117
198,10,0.47474747474747475
199,8,0.47738693467336685
200,8,0.48
201,-12,0.47761194029850745
202,-10,0.4752475247524752
203,8,0.47783251231527096
204,-11,0.47549019607843135
205,12,0.47804878048780486
206,-8,0.47572815533980584
207,6,0.4782608695652174
208,12,0.4807692307692308
209,18,0.48325358851674644
210,10,0.4857142857142857
211,8,0.4881516587677725
212,12,0.49056603773584906
213,-14,0.48826291079812206
214,-10,0.48598130841121495
215,6,0.4883720930232558
216,12,0.49074074074074076
217,6,0.4930875576036866
218,-12,0.4908256880733945
219,9,0.4931506849315068
220,-8,0.4909090909090909
221,-6,0.48868778280542985
222,9,0.49099099099099097
223,11,0.49327354260089684
224,11,0.4955357142857143
225,10,0.49777777777777776
226,-16,0.49557522123893805
227,5,0.4977973568281938
228,6,0.5
229,8,0.5021834061135371
230,-8,0.5
231,10,0.5021645021645021
232,10,0.5043103448275862
233,5,0.5064377682403434
234,8,0.5085470085470085
235,12,0.5106382978723404
236,-14,0.5084745762711864
237,-6,0.5063291139240507
238,-12,0.5042016806722689
239,8,0.5062761506276151
240,8,0.5083333333333333
241,8,0.5103734439834025
242,10,0.512396694214876
243,-8,0.5102880658436214
244,8,0.5122950819672131
245,-12,0.5102040816326531
246,12,0.5121951219512195
247,9,0.5141700404858299
248,-12,0.5120967741935484
249,-13,0.5100401606425703
250,-8,0.508
251,-10,0.5059760956175299
252,-7,0.503968253968254
253,-6,0.5019762845849802
254,-8,0.5
255,8,0.5019607843137255
256,10,0.50390625
257,10,0.5058365758754864
258,-6,0.5038759689922481
259,8,0.5057915057915058
260,8,0.5076923076923077
261,-18,0.5057471264367817
262,-6,0.5038167938931297
263,-6,0.5019011406844106
264,6,0.5037878787878788
265,8,0.5056603773584906
266,-10,0.5037593984962406
267,-10,0.50187265917603
268,-8,0.5
269,6,0.5018587360594795
270,14,0.5037037037037037
271,-8,0.5018450184501845
272,7,0.5036764705882353
273,8,0.5054945054945055
274,10,0.5072992700729927
275,-8,0.5054545454545455
276,-12,0.5036231884057971
277,-18,0.5018050541516246
278,-6,0.5
279,-10,0.4982078853046595
280,-6,0.49642857142857144
281,-14,0.49466192170818507
282,8,0.49645390070921985
283,6,0.49823321554770317
284,-10,0.4964788732394366
285,-12,0.49473684210526314
286,-8,0.493006993006993
287,-12,0.4912891986062718
288,8,0.4930555555555556
289,12,0.49480968858131485
290,8,0.496551724137931
291,8,0.49828178694158076
292,-12,0.4965753424657534
293,-8,0.4948805460750853
294,10,0.4965986394557823
295,-8,0.49491525423728816
296,10,0.4966216216216216
297,12,0.4983164983164983
298,11,0.5
299,6,0.5016722408026756
300,-6,0.5
301,-8,0.4983388704318937
302,8,0.5
303,6,0.5016501650165016
304,-8,0.5
305,8,0.5016393442622951
306,6,0.5032679738562091
307,-6,0.501628664495114
308,16,0.5032467532467533
309,14,0.5048543689320388
310,-11,0.5032258064516129
311,6,0.5048231511254019
312,-10,0.5032051282051282
313,-12,0.5015974440894568
314,8,0.5031847133757962
315,-12,0.5015873015873016
316,-11,0.5
317,-8,0.49842271293375395
318,-9,0.4968553459119497
319,10,0.49843260188087773
320,-6,0.496875
321,8,0.4984423676012461
322,10,0.5
323,-16,0.4984520123839009
324,-8,0.49691358024691357
325,8,0.49846153846153846
326,6,0.5
327,8,0.5015290519877675
328,-11,0.5
329,6,0.5015197568389058
330,12,0.503030303030303
331,9,0.5045317220543807
332,-14,0.5030120481927711
333,-8,0.5015015015015015
334,-8,0.5
335,-8,0.49850746268656715
336,14,0.5
337,12,0.5014836795252225
338,10,0.5029585798816568
339,-8,0.5014749262536873
340,8,0.5029411764705882
341,8,0.5043988269794721
342,10,0.5058479532163743
343,16,0.5072886297376094
344,-10,0.5058139534883721
345,-14,0.5043478260869565
346,-12,0.5028901734104047
347,12,0.5043227665706052
348,11,0.5057471264367817
349,-8,0.504297994269341
350,-9,0.5028571428571429
351,8,0.5042735042735043
352,-10,0.5028409090909091
353,14,0.5042492917847026
354,-6,0.5028248587570622
355,10,0.504225352112676
356,-10,0.5028089887640449
357,-12,0.5014005602240896
358,11,0.5027932960893855
359,-8,0.5013927576601671
360,-15,0.5
361,-12,0.4986149584487535
362,-6,0.4972375690607735
363,11,0.4986225895316804
364,-7,0.49725274725274726
365,-8,0.4958904109589041
366,-8,0.49453551912568305
367,-10,0.49318801089918257
368,-12,0.49184782608695654
369,-12,0.4905149051490515
370,-6,0.4891891891891892
371,-10,0.48787061994609165
372,-8,0.48655913978494625
373,12,0.4879356568364611
374,11,0.4893048128342246
375,10,0.49066666666666664
376,-8,0.48936170212765956
377,-6,0.4880636604774536
378,8,0.4894179894179894
379,9,0.49076517150395776
380,-12,0.48947368421052634
381,-12,0.4881889763779528
382,-6,0.4869109947643979
383,6,0.48825065274151436
384,-14,0.4869791666666667
385,12,0.4883116883116883
386,-8,0.48704663212435234
387,-10,0.48578811369509045
388,18,0.48711340206185566
389,-10,0.48586118251928023
390,-6,0.4846153846153846
391,14,0.4859335038363171
392,6,0.4872448979591837
393,9,0.48854961832061067
394,8,0.48984771573604063
395,-10,0.48860759493670886
396,12,0.4898989898989899
397,-8,0.48866498740554154
398,8,0.4899497487437186
399,-6,0.48872180451127817
400,8,0.49
401,-10,0.48877805486284287
402,8,0.4900497512437811
403,-6,0.48883374689826303
404,10,0.4900990099009901
405,7,0.49135802469135803
406,-8,0.49014778325123154
407,10,0.4914004914004914
408,12,0.49264705882352944
409,-18,0.49144254278728605
410,12,0.4926829268292683
411,10,0.49391727493917276
412,-6,0.49271844660194175
413,-10,0.4915254237288136
414,-6,0.49033816425120774
415,-12,0.4891566265060241
416,-12,0.4879807692307692
417,-8,0.486810551558753
418,-12,0.48564593301435405
419,6,0.48687350835322196
420,6,0.4880952380952381
421,12,0.48931116389548696
422,-13,0.4881516587677725
423,9,0.48936170212765956
424,-16,0.4882075471698113
425,-12,0.48705882352941177
426,8,0.48826291079812206
427,10,0.4894613583138173
428,-12,0.4883177570093458
429,-7,0.48717948717948717
430,-12,0.48604651162790696
431,-12,0.48491879350348027
432,8,0.4861111111111111
433,-11,0.48498845265588914
434,-12,0.4838709677419355
435,-8,0.4827586206896552
436,-8,0.481651376146789
437,18,0.482837528604119
438,-6,0.4817351598173516
439,10,0.48291571753986334
440,-10,0.4818181818181818
441,6,0.48299319727891155
442,10,0.4841628959276018
443,-6,0.48306997742663654
444,-12,0.481981981981982
445,6,0.48314606741573035
446,10,0.484304932735426
447,-8,0.48322147651006714
448,-8,0.48214285714285715
449,16,0.48329621380846327
450,-8,0.4822222222222222
451,11,0.48337028824833705
452,10,0.48451327433628316
453,14,0.4856512141280353
454,-12,0.4845814977973568
455,-10,0.4835164835164835
456,-8,0.4824561403508772
457,14,0.48358862144420134
458,12,0.4847161572052402
459,6,0.485838779956427
460,-6,0.48478260869565215
461,14,0.48590021691973967
462,8,0.487012987012987
463,6,0.48812095032397407
464,10,0.4892241379310345
465,8,0.49032258064516127
466,6,0.49141630901287553
467,8,0.4925053533190578
468,-16,0.49145299145299143
469,8,0.4925373134328358
470,-10,0.49148936170212765
471,8,0.49256900212314225
472,11,0.4936440677966102
473,6,0.49471458773784355
474,9,0.4957805907172996
475,-8,0.49473684210526314
476,10,0.4957983193277311
477,14,0.4968553459119497
478,-10,0.49581589958158995
479,14,0.4968684759916493
480,-12,0.49583333333333335
481,11,0.4968814968814969
482,10,0.4979253112033195
483,-8,0.4968944099378882
484,10,0.49793388429752067
485,-10,0.49690721649484537
486,8,0.49794238683127573
487,6,0.4989733059548255
488,-8,0.4979508196721312
489,6,0.49897750511247446
490,14,0.5
491,14,0.5010183299389002
492,8,0.5020325203252033
493,10,0.5030425963488844
494,-9,0.5020242914979757
495,12,0.503030303030303
496,-6,0.5020161290322581
497,14,0.5030181086519114
498,-8,0.5020080321285141
499,10,0.503006012024048
500,-11,0.502
501,6,0.5029940119760479
502,6,0.5039840637450199
503,12,0.5049701789264414
504,6,0.5059523809523809
505,12,0.5069306930693069
506,-12,0.5059288537549407
507,6,0.5069033530571992
508,-6,0.5059055118110236
509,-9,0.5049115913555993
510,8,0.5058823529411764
511,6,0.5068493150684932
512,13,0.5078125
513,-11,0.50682261208577
514,6,0.5077821011673151
515,-6,0.5067961165048543
516,12,0.5077519379844961
517,8,0.5087040618955513
518,6,0.5096525096525096
519,12,0.5105973025048169
520,12,0.5115384615384615
521,10,0.5124760076775432
522,9,0.5134099616858238
523,-8,0.5124282982791587
524,-10,0.5114503816793893
525,-8,0.5104761904761905
526,-8,0.5095057034220533
527,8,0.5104364326375711
528,12,0.5113636363636364
529,10,0.5122873345935728
530,-10,0.5113207547169811
531,12,0.512241054613936
532,-10,0.5112781954887218
533,12,0.5121951219512195
534,7,0.5131086142322098
535,8,0.514018691588785
536,12,0.5149253731343284
537,-6,0.5139664804469274
538,-12,0.5130111524163569
539,-10,0.5120593692022264
540,-10,0.5111111111111111
541,10,0.512014787430684
542,-6,0.511070110701107
543,8,0.5119705340699816
544,-12,0.5110294117647058
545,10,0.5119266055045871
546,-6,0.510989010989011
547,12,0.5118829981718465
548,10,0.5127737226277372
549,-8,0.51183970856102
550,10,0.5127272727272727
551,-5,0.5117967332123412
552,-8,0.5108695652173914
553,14,0.5117540687160941
554,10,0.5126353790613718
555,10,0.5135135135135135
556,-8,0.512589928057554
557,-10,0.5116696588868941
558,6,0.5125448028673835
559,-8,0.5116279069767442
560,-14,0.5107142857142857
561,-14,0.5098039215686274
562,8,0.5106761565836299
563,10,0.5115452930728241
564,-12,0.5106382978723404
565,12,0.511504424778761
566,8,0.5123674911660777
567,-14,0.5114638447971781
568,-6,0.5105633802816901
569,12,0.5114235500878734
570,10,0.512280701754386
571,12,0.5131348511383538
572,8,0.513986013986014
573,-8,0.5130890052356021
574,-8,0.5121951219512195
575,6,0.5130434782608696
576,-8,0.5121527777777778
577,-10,0.511265164644714
578,8,0.5121107266435986
579,12,0.5129533678756477
580,-8,0.5120689655172413
581,-14,0.5111876075731497
582,-8,0.5103092783505154
583,-12,0.5094339622641509
584,-8,0.5085616438356164
585,-8,0.5076923076923077
586,6,0.5085324232081911
587,-10,0.5076660988074957
588,6,0.5085034013605442
589,8,0.5093378607809848
590,-10,0.5084745762711864
591,-8,0.5076142131979695
592,8,0.5084459459459459
593,-12,0.5075885328836425
594,-10,0.5067340067340067
595,6,0.507563025210084
596,-8,0.5067114093959731
597,8,0.507537688442211
598,-6,0.5066889632107023
599,-8,0.5058430717863105
600,11,0.5066666666666667
601,9,0.5074875207986689
602,11,0.5083056478405316
603,10,0.5091210613598673
604,-12,0.5082781456953642
605,10,0.509090909090909
606,10,0.5099009900990099
607,6,0.5107084019769358
608,-7,0.5098684210526315
609,-6,0.5090311986863711
610,10,0.5098360655737705
611,13,0.5106382978723404
612,10,0.511437908496732
613,12,0.5122349102773246
614,-14,0.511400651465798
615,8,0.5121951219512195
616,-6,0.5113636363636364
617,-6,0.5105348460291734
618,-8,0.5097087378640777
619,12,0.5105008077544426
620,10,0.5112903225806451
621,10,0.5120772946859904
622,-12,0.5112540192926045
623,-16,0.5104333868378812
624,-16,0.5096153846153846
625,-14,0.5088
626,-6,0.5079872204472844
627,-6,0.507177033492823
628,8,0.5079617834394905
629,-6,0.5071542130365659
630,12,0.5079365079365079
631,-12,0.5071315372424723
632,-8,0.5063291139240507
633,-8,0.5055292259083728
634,12,0.5063091482649842
635,12,0.5070866141732283
636,8,0.5078616352201258
637,6,0.5086342229199372
638,-8,0.5078369905956113
639,-8,0.5070422535211268
640,-6,0.50625
641,11,0.5070202808112324
642,-12,0.5062305295950156
643,8,0.5069984447900466
644,-10,0.5062111801242236
645,6,0.5069767441860465
646,-18,0.5061919504643962
647,-8,0.5054095826893354
648,-12,0.5046296296296297
649,12,0.5053929121725732
650,14,0.5061538461538462
651,10,0.5069124423963134
652,6,0.5076687116564417
653,-7,0.5068912710566615
654,11,0.5076452599388379
655,8,0.5083969465648855
656,6,0.5091463414634146
657,8,0.5098934550989346
658,9,0.5106382978723404
659,10,0.511380880121396
660,-8,0.5106060606060606
661,-6,0.5098335854765507
662,-6,0.5090634441087614
663,-8,0.5082956259426847
664,12,0.5090361445783133
665,-6,0.5082706766917293
666,-10,0.5075075075075075
667,6,0.5082458770614693
668,-10,0.5074850299401198
669,6,0.5082212257100149
670,-12,0.5074626865671642
671,8,0.5081967213114754
672,6,0.5089285714285714
673,-10,0.5081723625557206
674,6,0.5089020771513353
675,-8,0.5081481481481481
676,-9,0.507396449704142
677,8,0.5081240768094535
678,13,0.5088495575221239
679,10,0.5095729013254786
680,-16,0.5088235294117647
681,16,0.5095447870778267
682,6,0.5102639296187683
683,8,0.5109809663250366
684,-6,0.5102339181286549
685,10,0.5109489051094891
686,16,0.5116618075801749
687,6,0.512372634643377
688,8,0.5130813953488372
689,13,0.5137880986937591
690,-13,0.5130434782608696
691,-7,0.5123010130246021
692,-8,0.5115606936416185
693,-8,0.5108225108225108
694,12,0.5115273775216138
695,6,0.5122302158273381
696,-12,0.5114942528735632
697,10,0.5121951219512195
698,10,0.5128939828080229
699,6,0.5135908440629471
700,6,0.5142857142857142
701,10,0.514978601997147
702,12,0.5156695156695157
703,-8,0.5149359886201992
704,11,0.515625
705,16,0.5163120567375886
706,6,0.5169971671388102
