Episode,Score,Win %,Eps History
1,-5,0.0,1.0
2,-8,0.0,0.99995
3,3,0.3333333333333333,0.99985
4,-5,0.25,0.99975
5,6,0.4,0.9997
6,-1,0.3333333333333333,0.99955
7,-3,0.2857142857142857,0.9995
8,-5,0.25,0.9994500000000001
9,7,0.3333333333333333,0.9993500000000001
10,5,0.4,0.9991500000000001
11,1,0.45454545454545453,0.9990500000000001
12,-3,0.4166666666666667,0.9989500000000001
13,3,0.46153846153846156,0.9989000000000001
14,3,0.5,0.9987500000000001
15,-8,0.4666666666666667,0.9987000000000001
16,3,0.5,0.9986000000000002
17,-3,0.47058823529411764,0.9984500000000002
18,-1,0.4444444444444444,0.9983500000000002
19,-7,0.42105263157894735,0.9982000000000002
20,9,0.45,0.9980500000000002
21,-5,0.42857142857142855,0.9979500000000002
22,-3,0.4090909090909091,0.9978000000000002
23,1,0.43478260869565216,0.9977000000000003
24,3,0.4583333333333333,0.9976000000000003
25,7,0.48,0.9975000000000003
26,-3,0.46153846153846156,0.9974500000000003
27,-7,0.4444444444444444,0.9973000000000003
28,1,0.4642857142857143,0.9971500000000003
29,7,0.4827586206896552,0.9971000000000003
30,5,0.5,0.9969500000000003
31,7,0.5161290322580645,0.9968000000000004
32,-11,0.5,0.9967000000000004
33,3,0.5151515151515151,0.9966000000000004
34,7,0.5294117647058824,0.9965000000000004
35,-5,0.5142857142857142,0.9963000000000004
36,6,0.5277777777777778,0.9962500000000004
37,-8,0.5135135135135135,0.9961500000000004
38,-4,0.5,0.9960000000000004
39,3,0.5128205128205128,0.9959000000000005
40,1,0.525,0.9958000000000005
41,-1,0.5121951219512195,0.9956500000000005
42,9,0.5238095238095238,0.9956000000000005
43,-3,0.5116279069767442,0.9955000000000005
44,-3,0.5,0.9953000000000005
45,-5,0.4888888888888889,0.9952000000000005
46,-7,0.4782608695652174,0.9951000000000005
47,7,0.48936170212765956,0.9950000000000006
48,3,0.5,0.9948500000000006
49,-1,0.4897959183673469,0.9947500000000006
50,10,0.5,0.9946500000000006
51,-3,0.49019607843137253,0.9945500000000006
52,-7,0.4807692307692308,0.9945000000000006
53,-3,0.4716981132075472,0.9943500000000006
54,1,0.48148148148148145,0.9942500000000006
55,3,0.4909090909090909,0.9941500000000006
56,-3,0.48214285714285715,0.9940000000000007
57,3,0.49122807017543857,0.9939000000000007
58,3,0.5,0.9938000000000007
59,-3,0.4915254237288136,0.9937500000000007
60,-7,0.48333333333333334,0.9937000000000007
61,-5,0.47540983606557374,0.9936000000000007
62,9,0.4838709677419355,0.9935000000000007
63,-5,0.47619047619047616,0.9934000000000007
64,-11,0.46875,0.9933000000000007
65,-3,0.46153846153846156,0.9932000000000007
66,3,0.4696969696969697,0.9931000000000008
67,-7,0.4626865671641791,0.9930000000000008
68,7,0.47058823529411764,0.9928500000000008
69,1,0.4782608695652174,0.9927500000000008
70,1,0.4857142857142857,0.9927000000000008
71,-6,0.4788732394366197,0.9926500000000008
72,-9,0.4722222222222222,0.9925500000000008
73,7,0.4794520547945205,0.9925000000000008
74,1,0.4864864864864865,0.9924000000000008
75,3,0.49333333333333335,0.9923500000000008
76,9,0.5,0.9922500000000009
77,-5,0.4935064935064935,0.9921500000000009
78,-5,0.48717948717948717,0.9920500000000009
79,1,0.4936708860759494,0.9919000000000009
80,-6,0.4875,0.9918000000000009
81,-9,0.48148148148148145,0.9916500000000009
82,1,0.4878048780487805,0.9915000000000009
83,5,0.4939759036144578,0.991400000000001
84,7,0.5,0.991300000000001
85,-3,0.49411764705882355,0.991250000000001
86,5,0.5,0.991150000000001
87,-3,0.4942528735632184,0.991000000000001
88,-1,0.48863636363636365,0.990900000000001
89,5,0.4943820224719101,0.990850000000001
90,3,0.5,0.990700000000001
91,9,0.5054945054945055,0.990500000000001
92,5,0.5108695652173914,0.990450000000001
93,-7,0.5053763440860215,0.9903500000000011
94,1,0.5106382978723404,0.9902000000000011
95,7,0.5157894736842106,0.9900500000000011
96,5,0.5208333333333334,0.9899500000000011
97,1,0.5257731958762887,0.9898500000000011
98,-7,0.5204081632653061,0.9897500000000011
99,1,0.5252525252525253,0.9896000000000011
100,-7,0.52,0.9895500000000012
101,5,0.5247524752475248,0.9894000000000012
102,-1,0.5196078431372549,0.9892500000000012
103,3,0.5242718446601942,0.9891500000000012
104,-3,0.5192307692307693,0.9890000000000012
105,-3,0.5142857142857142,0.9889000000000012
106,3,0.5188679245283019,0.9888000000000012
107,-7,0.514018691588785,0.9887500000000012
108,-5,0.5092592592592593,0.9886000000000013
109,-11,0.5045871559633027,0.9885000000000013
110,-5,0.5,0.9884500000000013
111,-5,0.4954954954954955,0.9883500000000013
112,6,0.5,0.9883000000000013
